Date,Open,High,Low,Close,Volume,Adj Close
2015-09-01,47.709999,48.450001,47.549999,47.880001,490000,47.880001
2015-08-31,49.580002,49.900002,48.380001,48.599998,769900,48.599998
2015-08-28,49.389999,49.84,49.02,49.610001,643400,49.610001
2015-08-27,48.939999,49.700001,48.029999,49.68,714300,49.68
2015-08-26,46.619999,48.59,46.610001,48.549999,771200,48.549999
2015-08-25,47.009998,47.240002,46.09,46.259998,541400,46.259998
2015-08-24,42.52,47.650002,42.490002,45.830002,1091500,45.830002
2015-08-21,46.970001,48.400002,46.73,46.919998,988400,46.919998
2015-08-20,48.709999,48.759998,47.459999,47.59,610500,47.59
2015-08-19,49.759998,49.919998,48.779999,49.130001,460500,49.130001
2015-08-18,50.099998,50.799999,49.689999,49.77,361700,49.77
2015-08-17,50.259998,50.360001,49.439999,50.25,266100,50.25
2015-08-14,49.25,50.82,49.049999,50.540001,411400,50.540001
2015-08-13,49.029999,49.50,48.650002,49.189999,245600,49.189999
2015-08-12,48.990002,49.00,47.18,48.830002,618500,48.830002
2015-08-11,49.139999,49.259998,47.849998,49.080002,832300,49.080002
2015-08-10,49.98,50.360001,49.240002,49.349998,444200,49.349998
2015-08-07,49.919998,50.09,48.900002,49.98,679400,49.98
2015-08-06,50.009998,50.150002,49.27,50.00,794000,50.00
2015-08-05,49.619999,50.82,49.450001,50.27,751200,50.27
2015-08-04,49.049999,49.560001,48.610001,49.52,594100,49.52
2015-07-31,48.490002,48.98,48.189999,48.860001,680600,48.860001
2015-07-30,48.00,48.610001,47.66,48.400002,808500,48.400002
2015-07-29,49.00,49.00,47.32,48.34,1812200,48.34
2015-07-28,50.25,50.450001,49.419998,50.23,512100,50.23
2015-07-27,50.02,50.59,49.939999,50.209999,408900,50.209999
2015-07-24,50.869999,51.48,50.52,50.799999,416100,50.799999
2015-07-23,50.799999,51.279999,50.43,50.93,438500,50.93
2015-07-22,51.720001,51.720001,50.869999,50.939999,928100,50.939999
2015-07-21,52.209999,52.32,51.48,51.700001,381000,51.700001
2015-07-20,52.209999,53.130001,52.200001,52.400002,313000,52.400002
2015-07-17,52.220001,52.400002,52.009998,52.310001,493000,52.310001
2015-07-16,51.27,52.41,51.27,52.25,721700,52.25
2015-07-15,51.610001,51.939999,51.02,51.299999,570500,51.299999
2015-07-14,50.779999,51.650002,50.439999,51.450001,475700,51.450001
2015-07-13,49.549999,50.779999,49.549999,50.700001,544400,50.700001
2015-07-10,49.509998,49.75,49.130001,49.380001,839900,49.380001
